Date,Price,Open,High,Low,Vol.,Change %
2019-05-17,1610.11,1599.32,1610.11,1599.32,9.75M,0.68%
2019-05-16,1599.19,1609.22,1610.78,1599.19,98.56M,-0.76%
2019-05-15,1611.43,1601.43,1617.43,1601.04,151.70M,0.77%
2019-05-14,1599.19,1580.85,1603.72,1572.03,179.36M,-0.12%
2019-05-13,1601.09,1610.55,1611.47,1598.60,110.39M,-0.57%
2019-05-10,1610.27,1615.91,1620.40,1610.27,101.87M,-0.51%
2019-05-09,1618.53,1629.61,1630.44,1618.33,137.54M,-0.92%
2019-05-08,1633.55,1635.56,1635.56,1627.38,152.14M,-0.36%
2019-05-07,1639.37,1626.77,1641.86,1626.06,170.56M,0.40%
2019-05-06,1632.80,1632.04,1633.66,1623.61,66.59M,-0.27%
2019-05-03,1637.30,1631.53,1637.41,1625.56,85.12M,0.31%
2019-05-02,1632.24,1642.46,1644.35,1631.27,90.61M,-0.61%
2019-04-30,1642.29,1634.62,1643.45,1634.54,144.27M,0.30%
2019-04-29,1637.40,1637.30,1637.49,1631.83,65.39M,-0.06%
2019-04-26,1638.38,1638.66,1639.18,1632.58,118.49M,0.17%
2019-04-25,1635.68,1637.34,1640.13,1632.51,124.14M,-0.14%
2019-04-24,1638.01,1633.70,1640.96,1633.70,138.70M,0.65%
2019-04-23,1627.44,1624.12,1629.42,1620.93,109.46M,0.33%
2019-04-22,1622.06,1622.56,1630.91,1621.16,118.62M,0.00%
2019-04-19,1622.07,1620.64,1625.22,1618.69,78.12M,0.14%
2019-04-18,1619.73,1617.67,1620.55,1609.83,142.40M,-0.07%
2019-04-17,1620.90,1627.07,1627.77,1615.53,107.12M,-0.53%
2019-04-16,1629.46,1631.58,1635.47,1626.99,92.84M,-0.11%
2019-04-15,1631.33,1634.95,1638.87,1630.83,75.52M,0.07%
2019-04-12,1630.17,1624.53,1631.09,1623.44,103.88M,0.37%
2019-04-11,1624.23,1639.33,1639.33,1622.45,109.11M,-0.93%
2019-04-10,1639.46,1641.83,1642.13,1635.89,89.49M,-0.15%
2019-04-09,1641.94,1645.19,1645.56,1639.21,101.21M,-0.15%
2019-04-08,1644.35,1643.67,1645.72,1640.38,86.27M,0.15%
2019-04-05,1641.81,1645.08,1645.09,1640.30,67.53M,-0.20%
2019-04-04,1645.07,1644.01,1645.61,1637.57,109.91M,0.11%
2019-04-03,1643.21,1638.27,1645.54,1635.80,83.76M,0.64%
2019-04-02,1632.83,1633.83,1639.32,1630.98,104.63M,0.26%
2019-04-01,1628.66,1646.43,1647.59,1628.44,104.02M,-0.91%
2019-03-29,1643.63,1648.36,1649.60,1639.26,146.45M,0.14%
2019-03-28,1641.33,1642.90,1645.21,1638.69,94.50M,-0.09%
2019-03-27,1642.73,1649.17,1650.22,1641.89,100.60M,-0.44%
2019-03-26,1649.94,1647.82,1653.58,1647.11,107.09M,0.05%
2019-03-25,1649.15,1652.14,1654.26,1648.06,90.35M,-1.05%
2019-03-22,1666.66,1669.58,1673.45,1657.01,99.17M,0.18%
2019-03-21,1663.66,1687.64,1689.61,1663.66,122.64M,-1.22%
2019-03-20,1684.21,1683.78,1687.06,1680.29,96.77M,-0.21%
2019-03-19,1687.68,1692.48,1694.89,1687.68,72.91M,-0.19%
2019-03-18,1690.94,1681.83,1690.94,1681.36,90.65M,0.62%
2019-03-15,1680.54,1674.59,1683.25,1672.60,242.81M,0.36%
2019-03-14,1674.52,1675.66,1678.88,1673.47,111.79M,-0.22%
2019-03-13,1678.24,1671.13,1678.24,1669.92,109.37M,0.42%
2019-03-12,1671.28,1667.96,1672.94,1666.84,103.63M,0.40%
2019-03-11,1664.63,1680.14,1680.18,1664.63,126.19M,-0.91%
2019-03-08,1679.90,1686.13,1688.28,1678.66,114.74M,-0.42%
2019-03-07,1686.95,1682.33,1690.23,1682.33,110.67M,0.01%
2019-03-06,1686.82,1684.98,1688.33,1684.08,124.22M,0.07%
2019-03-05,1685.62,1682.19,1691.28,1682.19,109.52M,-0.49%
2019-03-04,1693.99,1688.22,1698.87,1688.22,101.62M,-0.40%
2019-03-01,1700.76,1700.45,1701.05,1696.71,132.88M,-0.41%
2019-02-28,1707.73,1715.38,1717.88,1706.92,214.74M,-0.33%
2019-02-27,1713.45,1717.14,1717.59,1709.30,120.55M,-0.32%
2019-02-26,1719.00,1725.57,1726.00,1715.15,123.35M,-0.32%
2019-02-25,1724.58,1722.34,1724.58,1717.41,111.66M,0.18%
2019-02-22,1721.42,1730.51,1732.27,1716.17,134.82M,-0.54%
2019-02-21,1730.68,1722.37,1730.68,1719.67,168.87M,0.26%
